Area,Consumption Segment,Country,Measure Names,"Sector, Category or Product",Measure Values
Rural,Middle,Bhutan,$PPP,Food and Beverages,12.335492795
Rural,Middle,Bhutan,Local Currency,Food and Beverages,272.540377813
Rural,Lowest,Bhutan,US$,Food and Beverages,67.865151823
Rural,Lowest,Bhutan,$PPP,Food and Beverages,140.454509472
Rural,Lowest,Bhutan,Local Currency,Food and Beverages,3103.201932269
Rural,Low,Bhutan,US$,Food and Beverages,65.067558024
Rural,Low,Bhutan,$PPP,Food and Beverages,134.664576726
Rural,Low,Bhutan,Local Currency,Food and Beverages,2975.279158188
Rural,All,Bhutan,US$,Food and Beverages,139.291442759
Rural,All,Bhutan,$PPP,Food and Beverages,288.279193971
Rural,All,Bhutan,Local Currency,Food and Beverages,6369.240511595
Urban,Higher,Bhutan,US$,Food and Beverages,2.900742485
Urban,Higher,Bhutan,$PPP,Food and Beverages,6.003410468
Urban,Higher,Bhutan,Local Currency,Food and Beverages,132.639350873
Urban,Middle,Bhutan,US$,Food and Beverages,38.173600585
Urban,Middle,Bhutan,$PPP,Food and Beverages,79.004528848
Urban,Middle,Bhutan,Local Currency,Food and Beverages,1745.526060370
Urban,Lowest,Bhutan,US$,Food and Beverages,5.719519847
Urban,Lowest,Bhutan,$PPP,Food and Beverages,11.837184961
Urban,Lowest,Bhutan,Local Currency,Food and Beverages,261.530764531
Urban,Low,Bhutan,US$,Food and Beverages,82.922373264
Urban,Low,Bhutan,$PPP,Food and Beverages,171.617110521
Urban,Low,Bhutan,Local Currency,Food and Beverages,3791.708439857
Urban,All,Bhutan,US$,Food and Beverages,129.716236158
Urban,All,Bhutan,$PPP,Food and Beverages,268.462234750
Urban,All,Bhutan,Local Currency,Food and Beverages,5931.404614563
National,Higher,Bolivia,US$,Food and Beverages,504.894157401
National,Higher,Bolivia,$PPP,Food and Beverages,1123.998192411
National,Higher,Bolivia,Local Currency,Food and Beverages,3542.842302481
National,Middle,Bolivia,US$,Food and Beverages,2521.653369118
National,Middle,Bolivia,$PPP,Food and Beverages,5613.718810628
National,Middle,Bolivia,Local Currency,Food and Beverages,17694.441691101
National,Lowest,Bolivia,US$,Food and Beverages,486.948190769
National,Lowest,Bolivia,$PPP,Food and Beverages,1084.046781290
National,Lowest,Bolivia,Local Currency,Food and Beverages,3416.915454627
National,Low,Bolivia,US$,Food and Beverages,3059.506834641
National,Low,Bolivia,$PPP,Food and Beverages,6811.091198818
National,Low,Bolivia,Local Currency,Food and Beverages,21468.559458673
National,All,Bolivia,US$,Food and Beverages,6573.002551704
National,All,Bolivia,$PPP,Food and Beverages,14632.854982648
National,All,Bolivia,Local Currency,Food and Beverages,46122.758905308
Rural,Higher,Bolivia,US$,Food and Beverages,0
Rural,Higher,Bolivia,$PPP,Food and Beverages,0
Rural,Higher,Bolivia,Local Currency,Food and Beverages,0
Rural,Middle,Bolivia,US$,Food and Beverages,193.064895840
Rural,Middle,Bolivia,$PPP,Food and Beverages,429.802149146
Rural,Middle,Bolivia,Local Currency,Food and Beverages,1354.736374109
Rural,Lowest,Bolivia,US$,Food and Beverages,368.014343938
Rural,Lowest,Bolivia,$PPP,Food and Beverages,819.275587378
Rural,Lowest,Bolivia,Local Currency,Food and Beverages,2582.356651416
Rural,Low,Bolivia,US$,Food and Beverages,731.932360944
Rural,Low,Bolivia,$PPP,Food and Beverages,1629.431908865
Rural,Low,Bolivia,Local Currency,Food and Beverages,5135.969376742
Rural,All,Bolivia,US$,Food and Beverages,1293.011600545
Rural,All,Bolivia,$PPP,Food and Beverages,2878.509644996
Rural,All,Bolivia,Local Currency,Food and Beverages,9073.062401026
Urban,Higher,Bolivia,US$,Food and Beverages,504.894157401
Urban,Higher,Bolivia,$PPP,Food and Beverages,1123.998192411
Urban,Higher,Bolivia,Local Currency,Food and Beverages,3542.842302481
Urban,Middle,Bolivia,US$,Food and Beverages,2328.588473356
Urban,Middle,Bolivia,$PPP,Food and Beverages,5183.916661655
Urban,Middle,Bolivia,Local Currency,Food and Beverages,16339.705317537
Urban,Lowest,Bolivia,US$,Food and Beverages,118.933846924
Urban,Lowest,Bolivia,$PPP,Food and Beverages,264.771194120
Urban,Lowest,Bolivia,Local Currency,Food and Beverages,834.558803867
Urban,Low,Bolivia,US$,Food and Beverages,2327.574473788
Urban,Low,Bolivia,$PPP,Food and Beverages,5181.659290156
Urban,Low,Bolivia,Local Currency,Food and Beverages,16332.590082573
Urban,All,Bolivia,US$,Food and Beverages,5279.990951247
Urban,All,Bolivia,$PPP,Food and Beverages,11754.345337850
Urban,All,Bolivia,Local Currency,Food and Beverages,37049.696504902
National,Higher,Bosnia and Herzegovina,US$,Food and Beverages,2896.831424152
National,Higher,Bosnia and Herzegovina,$PPP,Food and Beverages,4748.745852910
National,Higher,Bosnia and Herzegovina,Local Currency,Food and Beverages,4278.620013472
National,Middle,Bosnia and Herzegovina,US$,Food and Beverages,2543.343217594
National,Middle,Bosnia and Herzegovina,$PPP,Food and Beverages,4169.276284557
National,Middle,Bosnia and Herzegovina,Local Currency,Food and Beverages,3756.517932386
National,Lowest,Bosnia and Herzegovina,US$,Food and Beverages,5.002148369
National,Lowest,Bosnia and Herzegovina,$PPP,Food and Beverages,8.199970190
National,Lowest,Bosnia and Herzegovina,Local Currency,Food and Beverages,7.388173141
National,Low,Bosnia and Herzegovina,US$,Food and Beverages,302.425397217
National,Low,Bosnia and Herzegovina,$PPP,Food and Beverages,495.762832064
National,Low,Bosnia and Herzegovina,Local Currency,Food and Beverages,446.682311690
National,All,Bosnia and Herzegovina,US$,Food and Beverages,5747.602186636
National,All,Bosnia and Herzegovina,$PPP,Food and Beverages,9421.984938581
National,All,Bosnia and Herzegovina,Local Currency,Food and Beverages,8489.208429662
Rural,Higher,Bosnia and Herzegovina,US$,Food and Beverages,919.810954112
Rural,Higher,Bosnia and Herzegovina,$PPP,Food and Beverages,1507.836602911
Rural,Higher,Bosnia and Herzegovina,Local Currency,Food and Beverages,1358.560779223
Rural,Middle,Bosnia and Herzegovina,US$,Food and Beverages,1341.481959830
Rural,Middle,Bosnia and Herzegovina,$PPP,Food and Beverages,2199.077530153
Rural,Middle,Bosnia and Herzegovina,Local Currency,Food and Beverages,1981.368854668
Rural,Lowest,Bosnia and Herzegovina,US$,Food and Beverages,3.578866736
Rural,Lowest,Bosnia and Herzegovina,$PPP,Food and Beverages,5.866799300
Rural,Lowest,Bosnia and Herzegovina,Local Currency,Food and Beverages,5.285986169
